degradation,method,N_trajectories,delta0_auto,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,smooth_acc_rms_mean,smooth_acc_rms_std,e1_win_rate_vs_conditional,e1_win_rate_vs_noisy
gaussian_medium,noisy_input,200,0.05882825329899788,0.06256657134741545,0.007723502393778212,0.06269949674606323,0.042232804000377655,0.08243260532617569,0.057302757166326046,0.06738557666540146,0.06978799451142549,0.008084759959307826,0.2611900069564581,0.11554207507516223,0.825,0.925
gaussian_medium,stage3_cond_residual_t20,200,0.05882825329899788,0.05569540362805128,0.016248208078876503,0.054266996681690216,0.02222782000899315,0.11192576587200165,0.04400283098220825,0.06538769230246544,0.06175982628017664,0.017118860284000278,0.20175429802387954,0.133281552207929,0.825,0.925
gaussian_medium,e1_oracle_gated_residual,200,0.05882825329899788,0.048260452654212714,0.010380068028860757,0.04763861745595932,0.026641855016350746,0.0742424875497818,0.04037840384989977,0.05533562134951353,0.05540073438547552,0.01201016678743289,0.21503765609115363,0.12675550509927513,0.825,0.925
drift_medium,noisy_input,200,0.01567825675010681,0.01764802380464971,0.006858701927017938,0.016565647907555103,0.005397857632488012,0.04755106940865517,0.012692087097093463,0.02109011448919773,0.019893229990266263,0.007550204747783463,0.17735303912311792,0.1444605195431318,0.995,0.3
drift_medium,stage3_cond_residual_t20,200,0.01567825675010681,0.031590759456157684,0.013206040482042243,0.0292643578723073,0.009934687986969948,0.07471559941768646,0.021158004645258188,0.03951755166053772,0.035275070904754104,0.014546020012279358,0.17216169304214418,0.14721236659467327,0.995,0.3
drift_medium,e1_oracle_gated_residual,200,0.01567825675010681,0.023272145786322654,0.01130550849881661,0.021687733009457588,0.005584058351814747,0.05609063431620598,0.013992024352774024,0.029976731166243553,0.027089523207396268,0.013220446118745914,0.1735934672690928,0.14649243735500278,0.995,0.3
burst_medium,noisy_input,200,0.014054441824555397,0.07475545567460358,0.020440685283591914,0.07311102375388145,0.028182363137602806,0.12841452658176422,0.06095432676374912,0.08700680360198021,0.1573742324858904,0.04307914459339993,0.44725912913680077,0.15005095328181844,1.0,0.62
burst_medium,stage3_cond_residual_t20,200,0.014054441824555397,0.09188490455970168,0.032011635357013936,0.08650604635477066,0.02710876241326332,0.20040464401245117,0.06978483498096466,0.10792851448059082,0.13624386109411715,0.039482337169571335,0.3420810113847256,0.14032668235702456,1.0,0.62
burst_medium,e1_oracle_gated_residual,200,0.014054441824555397,0.07392223074100912,0.02352517906591385,0.07093875110149384,0.01934189721941948,0.15406052768230438,0.057349796406924725,0.08738765306770802,0.1280084690451622,0.037296243490692306,0.34343705993145707,0.13776141505405287,1.0,0.62
bias_medium,noisy_input,200,0.17292533814907074,0.18899561773054302,0.09570648275368515,0.17292532324790955,0.018522217869758606,0.5542881488800049,0.11715594492852688,0.25482869148254395,0.18899561768397688,0.09570648421092105,0.1769802125915885,0.14451258749622634,0.52,0.535
bias_medium,stage3_cond_residual_t20,200,0.17292533814907074,0.18886824702844024,0.09305164431430993,0.17014080286026,0.01407451368868351,0.5094497203826904,0.12098105251789093,0.2507086545228958,0.1894889370026067,0.09281330536325431,0.17207910179160535,0.14710228968388045,0.52,0.535
bias_medium,e1_oracle_gated_residual,200,0.17292533814907074,0.18764434463344515,0.09408973809268345,0.16966387629508972,0.016523906961083412,0.5112358331680298,0.11833658628165722,0.24939808249473572,0.1878485344722867,0.09411699713953528,0.17348133540712296,0.14627127510097743,0.52,0.535
